// xMin = 0
// xMax = 3.14159
// yMin = 0
// yMax = 3.14159
//
// Nx = 30
// Ny = 40
// hx = 0.108331
// hy = 0.0805537
//
// tau = 0.05
// T = 10
//
// x = xMin + hx*j, y = yMin + hy*i, s = j + i*Nx
//
// For each gridnode program results are presented in the following style: 
//                  ...    ...    ...
// max(res[i][:]) | ...   u[i][j] ...
//                | ...   w[i][j] ...
//                | ... res[i][j] ...
//                  ...    ...    ...
// where u - exact solution, w - approximate solution
// res[i][j] = abs( u[i][j] - w[i][j] )
// max(res[i][:]) - biggest res value among all elements in row i 

t = 0.0000
max(|Res|) = 0.0000
     0.0000 |         0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
            |         0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
            |         0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000

     0.0000 |         0.0000        0.1005        0.1824        0.2306        0.2362        0.1981        0.1234        0.0259       -0.0764       -0.1646       -0.2223       -0.2390       -0.2114       -0.1448       -0.0514        0.0514        0.1448        0.2114        0.2390        0.2223        0.1646        0.0764       -0.0259       -0.1234       -0.1981       -0.2362       -0.2306       -0.1824       -0.1005       -0.0000
            |         0.0000        0.1005        0.1824        0.2306        0.2362        0.1981        0.1234        0.0259       -0.0764       -0.1646       -0.2223       -0.2390       -0.2114       -0.1448       -0.0514        0.0514        0.1448        0.2114        0.2390        0.2223        0.1646        0.0764       -0.0259       -0.1234       -0.1981       -0.2362       -0.2306       -0.1824       -0.1005        0.0000
            |         0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000

     0.0000 |         0.0000        0.1951        0.3542        0.4478        0.4586        0.3846        0.2396        0.0502       -0.1484       -0.3196       -0.4317       -0.4640       -0.4106       -0.2812       -0.0999        0.0999        0.2812        0.4106        0.4640        0.4317        0.3196        0.1484       -0.0502       -0.2396       -0.3846       -0.4586       -0.4478       -0.3542       -0.1951       -0.0000
            |         0.0000        0.1951        0.3542        0.4478        0.4586        0.3846        0.2396        0.0502       -0.1484       -0.3196       -0.4317       -0.4640       -0.4106       -0.2812       -0.0999        0.0999        0.2812        0.4106        0.4640        0.4317        0.3196        0.1484       -0.0502       -0.2396       -0.3846       -0.4586       -0.4478       -0.3542       -0.1951        0.0000
            |         0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000

     0.0000 |         0.0000        0.2784        0.5054        0.6390        0.6544        0.5489        0.3419        0.0717       -0.2117       -0.4560       -0.6160       -0.6622       -0.5859       -0.4013       -0.1426        0.1426        0.4013        0.5859        0.6622        0.6160        0.4560        0.2117       -0.0717       -0.3419       -0.5489       -0.6544       -0.6390       -0.5054       -0.2784       -0.0000
            |         0.0000        0.2784        0.5054        0.6390        0.6544        0.5489        0.3419        0.0717       -0.2117       -0.4560       -0.6160       -0.6622       -0.5859       -0.4013       -0.1426        0.1426        0.4013        0.5859        0.6622        0.6160        0.4560        0.2117       -0.0717       -0.3419       -0.5489       -0.6544       -0.6390       -0.5054       -0.2784        0.0000
            |         0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000

     0.0000 |         0.0000        0.3456        0.6272        0.7930        0.8121        0.6812        0.4243        0.0890       -0.2628       -0.5660       -0.7645       -0.8218       -0.7271       -0.4980       -0.1769        0.1769        0.4980        0.7271        0.8218        0.7645        0.5660        0.2628       -0.0890       -0.4243       -0.6812       -0.8121       -0.7930       -0.6272       -0.3456       -0.0000
            |         0.0000        0.3456        0.6272        0.7930        0.8121        0.6812        0.4243        0.0890       -0.2628       -0.5660       -0.7645       -0.8218       -0.7271       -0.4980       -0.1769        0.1769        0.4980        0.7271        0.8218        0.7645        0.5660        0.2628       -0.0890       -0.4243       -0.6812       -0.8121       -0.7930       -0.6272       -0.3456        0.0000
            |         0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000

     0.0000 |         0.0000        0.3926        0.7126        0.9009        0.9227        0.7739        0.4821        0.1011       -0.2986       -0.6430       -0.8686       -0.9336       -0.8261       -0.5658       -0.2010        0.2010        0.5658        0.8261        0.9336        0.8686        0.6430        0.2986       -0.1011       -0.4821       -0.7739       -0.9227       -0.9009       -0.7126       -0.3926       -0.0000
